,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,hobart,100,AU,1578088515,45,-42.88,147.33,71.01,9.17
1,hamada,3,JP,1578088764,49,34.9,132.08,51.01,7.72
2,saint-philippe,90,CA,1578088764,80,45.36,-73.48,42.01,4.92
3,mar del plata,98,AR,1578088764,28,-46.43,-67.52,80.64,34.02
4,dikson,70,RU,1578088764,95,73.51,80.55,-4.72,18.01
5,rikitea,100,PF,1578088764,77,-23.12,-134.97,79.43,9.75
6,luwuk,100,ID,1578088764,78,-0.95,122.79,80.96,5.84
7,mataura,99,NZ,1578088764,71,-46.19,168.86,51.01,18.99
8,caxito,75,BR,1578088764,83,-22.65,-42.51,78.8,9.17
9,bud,75,NO,1578088764,68,62.91,6.91,37.4,28.86
10,dingle,87,PH,1578088764,95,11.0,122.67,72.45,11.16
11,new norfolk,67,AU,1578088764,45,-42.78,147.06,71.01,9.17
12,ishigaki,20,JP,1578088764,88,24.34,124.16,62.6,3.36
13,aklavik,90,CA,1578088764,68,68.22,-135.01,-14.8,9.17
14,ponta do sol,92,BR,1578088764,78,-20.63,-46.0,76.98,1.95
15,butaritari,100,KI,1578088764,78,3.07,172.79,83.46,10.47
16,talnakh,75,RU,1578088765,84,69.49,88.39,-2.2,13.42
17,ushuaia,40,AR,1578088765,54,-54.81,-68.31,55.4,17.22
18,banposh,34,IN,1578088765,95,22.25,84.8,56.34,0.94
19,la ronge,90,CA,1578088765,72,55.1,-105.3,15.8,4.7
20,nikolskoye,75,RU,1578088765,86,59.7,30.79,41.0,11.18
21,port alfred,100,ZA,1578088765,94,-33.59,26.89,70.32,14.38
22,saint george,0,GR,1578088765,86,39.45,22.34,39.99,1.72
23,bredasdorp,12,ZA,1578088765,68,-34.53,20.04,68.0,3.36
24,atuona,9,PF,1578088765,76,-9.8,-139.03,80.35,18.25
25,severo-kurilsk,100,RU,1578088765,81,50.68,156.12,18.73,8.34
26,lagoa,20,PT,1578088765,66,37.14,-8.45,55.0,4.7
